customer_id,churn_probability,risk_category,top_risk_factors
C101236,0.7727,High,orders in the last 90 days: 0 (increasing churn risk) | total qty: 95.00 (decreasing churn risk) | customer tenure: 750.00 (increasing churn risk) | 190 days since last purchase (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk)
C101242,0.7332,High,10 days since last purchase (decreasing churn risk) | orders in the last 90 days: 1 (increasing churn risk) | total historical order count: 3 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | total qty: 4.00 (increasing churn risk)
C101254,0.7105,High,orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 3 (increasing churn risk) | orders in the prior 90-day period: 1 (increasing churn risk) | region North: 0.00 (decreasing churn risk) | 105 days since last purchase (increasing churn risk)
C101262,0.8531,High,customer tenure: 857.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | 109 days since last purchase (increasing churn risk) | total historical order count: 7 (increasing churn risk) | orders in the prior 90-day period: 1 (increasing churn risk)
C101272,0.9578,High,293 days since last purchase (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | customer tenure: 715.00 (increasing churn risk) | reliance on discounts: 37.2% (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk)
C101277,0.8613,High,customer tenure: 1031.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | 234 days since last purchase (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | total historical order count: 13 (decreasing churn risk)
C101285,0.85,High,customer tenure: 816.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 5 (increasing churn risk) | 134 days since last purchase (decreasing churn risk) | orders in the prior 90-day period: 1 (increasing churn risk)
C101342,0.9243,High,customer tenure: 709.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 4 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | 187 days since last purchase (increasing churn risk)
C101346,0.9662,High,629 days since last purchase (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 0 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | avg order value: 0.00 (decreasing churn risk)
C101380,0.9829,High,865 days since last purchase (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | customer tenure: 865.00 (increasing churn risk) | total historical order count: 0 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk)
C101385,0.9316,High,394 days since last purchase (increasing churn risk) | customer tenure: 966.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | avg order value: 23924.42 (increasing churn risk)
C101388,0.7762,High,avg order value: 30758.05 (increasing churn risk) | 26 days since last purchase (decreasing churn risk) | std order value: 45271.09 (increasing churn risk) | customer tenure: 524.00 (increasing churn risk) | total historical order count: 6 (increasing churn risk)
C101394,0.8962,High,268 days since last purchase (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 0 (increasing churn risk) | customer tenure: 268.00 (decreasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk)
C101402,0.7826,High,total refund: 131244.54 (increasing churn risk) | orders in the last 90 days: 1 (increasing churn risk) | 34 days since last purchase (decreasing churn risk) | product return rate: 22.7% (increasing churn risk) | customer tenure: 558.00 (increasing churn risk)
C101413,0.8629,High,442 days since last purchase (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 0 (increasing churn risk) | customer tenure: 442.00 (decreasing churn risk) | avg order value: 0.00 (decreasing churn risk)
C101443,0.6417,High,avg order value: 32876.15 (increasing churn risk) | orders in the last 90 days: 1 (increasing churn risk) | customer tenure: 243.00 (decreasing churn risk) | orders in the prior 90-day period: 4 (decreasing churn risk) | total refund: 14605.17 (increasing churn risk)
C101445,0.6384,High,orders in the prior 90-day period: 0 (increasing churn risk) | avg order value: 34011.95 (increasing churn risk) | orders in the last 90 days: 3 (decreasing churn risk) | customer tenure: 246.00 (decreasing churn risk) | 50 days since last purchase (decreasing churn risk)
C101454,0.798,High,orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 3 (increasing churn risk) | avg order value: 6258.15 (decreasing churn risk) | 99 days since last purchase (increasing churn risk) | product category diversity: 5 (increasing churn risk)
C101456,0.9764,High,578 days since last purchase (increasing churn risk) | customer tenure: 834.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | reliance on discounts: 37.0% (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk)
C101473,0.7591,High,orders in the last 90 days: 0 (increasing churn risk) | customer tenure: 794.00 (increasing churn risk) | total historical order count: 2 (increasing churn risk) | 341 days since last purchase (increasing churn risk) | avg order value: 3534.22 (decreasing churn risk)
C101476,0.9543,High,customer tenure: 1054.00 (increasing churn risk) | 272 days since last purchase (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | total historical order count: 5 (increasing churn risk)
C101478,0.6335,High,customer tenure: 925.00 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | 1 days since last purchase (decreasing churn risk) | total historical order count: 18 (decreasing churn risk) | overall engagement score: 52.84 (decreasing churn risk)
C101481,0.7064,High,customer tenure: 231.00 (decreasing churn risk) | 15 days since last purchase (decreasing churn risk) | total historical spend: 26411.49 (increasing churn risk) | total historical order count: 3 (increasing churn risk) | total qty: 12.00 (increasing churn risk)
C101485,0.6369,High,orders in the last 90 days: 0 (increasing churn risk) | customer tenure: 725.00 (increasing churn risk) | total historical order count: 13 (decreasing churn risk) | avg order value: 6884.87 (decreasing churn risk) | total historical spend: 89503.37 (increasing churn risk)
C101491,0.9515,High,customer tenure: 1029.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 4 (increasing churn risk) | 120 days since last purchase (increasing churn risk) | age: 26.00 (increasing churn risk)
C101492,0.8182,High,customer tenure: 1193.00 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | 29 days since last purchase (decreasing churn risk) | reliance on discounts: 16.3% (decreasing churn risk) | overall engagement score: 42.34 (increasing churn risk)
C101495,0.9376,High,430 days since last purchase (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 0 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | total qty: 0.00 (increasing churn risk)
C101498,0.8828,High,customer tenure: 854.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 4 (increasing churn risk) | product category diversity: 10 (decreasing churn risk) | total historical spend: 26991.36 (increasing churn risk)
C101503,0.9355,High,customer tenure: 1049.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | 300 days since last purchase (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | total historical order count: 6 (increasing churn risk)
C101511,0.7417,High,total historical order count: 3 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | avg order value: 4917.99 (decreasing churn risk) | 73 days since last purchase (decreasing churn risk) | total qty: 6.00 (increasing churn risk)
C101524,0.9619,High,712 days since last purchase (increasing churn risk) | customer tenure: 847.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 3 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk)
C101556,0.6413,High,customer tenure: 61.00 (decreasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | 61 days since last purchase (decreasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | overall engagement score: 10.00 (increasing churn risk)
C101577,0.9633,High,650 days since last purchase (increasing churn risk) | customer tenure: 1029.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | avg order value: 28338.66 (increasing churn risk)
C101587,0.9335,High,228 days since last purchase (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | customer tenure: 665.00 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | total historical order count: 5 (increasing churn risk)
C101589,0.7478,High,customer tenure: 230.00 (decreasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | 230 days since last purchase (increasing churn risk) | total historical order count: 0 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk)
C101609,0.9561,High,customer tenure: 1107.00 (increasing churn risk) | 423 days since last purchase (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 3 (increasing churn risk) | avg order value: 3644.27 (decreasing churn risk)
C101611,0.884,High,orders in the last 90 days: 0 (increasing churn risk) | avg order value: 30121.87 (increasing churn risk) | customer tenure: 719.00 (increasing churn risk) | 151 days since last purchase (increasing churn risk) | n support tickets: 5.00 (increasing churn risk)
C101615,0.9566,High,578 days since last purchase (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | customer tenure: 895.00 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | product category diversity: 5 (increasing churn risk)
C101619,0.9314,High,541 days since last purchase (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 4 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | overall engagement score: 6.49 (increasing churn risk)
C101620,0.7325,High,orders in the prior 90-day period: 0 (increasing churn risk) | customer tenure: 534.00 (increasing churn risk) | product category diversity: 10 (decreasing churn risk) | total historical order count: 8 (increasing churn risk) | change in purchase frequency: +200% (increasing churn risk)
C101635,0.9759,High,787 days since last purchase (increasing churn risk) | customer tenure: 1116.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 3 (increasing churn risk) | average support satisfaction score: 5.00 (decreasing churn risk)
C101640,0.7097,High,product return rate: 100.0% (decreasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 1 (increasing churn risk) | customer tenure: 1170.00 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk)
C101643,0.8345,High,538 days since last purchase (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | customer tenure: 714.00 (increasing churn risk) | total historical order count: 2 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk)
C101676,0.9798,High,749 days since last purchase (increasing churn risk) | customer tenure: 749.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 0 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk)
C101681,0.9857,High,1163 days since last purchase (increasing churn risk) | customer tenure: 1163.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 0 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk)
C101696,0.9317,High,551 days since last purchase (increasing churn risk) | customer tenure: 1024.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | total historical order count: 10 (decreasing churn risk)
C101697,0.9802,High,731 days since last purchase (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | customer tenure: 731.00 (increasing churn risk) | total historical order count: 0 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk)
C101713,0.7129,High,customer tenure: 954.00 (increasing churn risk) | orders in the last 90 days: 1 (increasing churn risk) | 67 days since last purchase (decreasing churn risk) | reliance on discounts: 16.2% (decreasing churn risk) | orders in the prior 90-day period: 1 (increasing churn risk)
C101731,0.9632,High,621 days since last purchase (increasing churn risk) | customer tenure: 950.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 2 (increasing churn risk) | avg order value: 3490.67 (decreasing churn risk)
C101743,0.9521,High,817 days since last purchase (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | customer tenure: 960.00 (increasing churn risk) | reliance on discounts: 32.5% (decreasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk)
C101746,0.7993,High,orders in the last 90 days: 0 (increasing churn risk) | avg order value: 30721.63 (increasing churn risk) | 160 days since last purchase (increasing churn risk) | age: 54.00 (increasing churn risk) | product category diversity: 10 (decreasing churn risk)
C101753,0.9475,High,460 days since last purchase (increasing churn risk) | customer tenure: 814.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | total historical order count: 2 (increasing churn risk)
C101758,0.9075,High,reliance on discounts: 36.1% (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 2 (increasing churn risk) | total qty: 5.00 (increasing churn risk) | 113 days since last purchase (increasing churn risk)
C101780,0.8938,High,501 days since last purchase (increasing churn risk) | customer tenure: 970.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | total refund: 749.14 (decreasing churn risk)
C101783,0.8466,High,257 days since last purchase (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 1 (increasing churn risk) | reliance on discounts: 21.8% (increasing churn risk) | customer tenure: 257.00 (decreasing churn risk)
C101803,0.6392,High,customer tenure: 1007.00 (increasing churn risk) | orders in the last 90 days: 1 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | 70 days since last purchase (decreasing churn risk) | reliance on discounts: 32.1% (decreasing churn risk)
C101804,0.802,High,customer tenure: 196.00 (decreasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 0 (increasing churn risk) | 196 days since last purchase (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk)
C101810,0.966,High,557 days since last purchase (increasing churn risk) | customer tenure: 854.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | total historical order count: 3 (increasing churn risk)
C101817,0.6658,High,orders in the last 90 days: 0 (increasing churn risk) | 91 days since last purchase (increasing churn risk) | average support satisfaction score: 5.00 (decreasing churn risk) | overall engagement score: 50.92 (decreasing churn risk) | orders in the prior 90-day period: 1 (increasing churn risk)
C101818,0.607,High,orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 18 (decreasing churn risk) | reliance on discounts: 36.5% (increasing churn risk) | 177 days since last purchase (increasing churn risk) | orders in the prior 90-day period: 1 (increasing churn risk)
C101823,0.9684,High,402 days since last purchase (increasing churn risk) | customer tenure: 978.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | total historical spend: 151889.06 (increasing churn risk)
C101828,0.9398,High,customer tenure: 1187.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | avg order value: 31676.18 (increasing churn risk) | 96 days since last purchase (increasing churn risk) | total historical spend: 221733.28 (decreasing churn risk)
C101831,0.9833,High,663 days since last purchase (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | customer tenure: 765.00 (increasing churn risk) | total historical order count: 1 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk)
C101834,0.7375,High,orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 27 (decreasing churn risk) | 209 days since last purchase (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | customer tenure: 661.00 (increasing churn risk)
C101845,0.8929,High,customer tenure: 803.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | 201 days since last purchase (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | total historical order count: 6 (increasing churn risk)
C101856,0.9094,High,orders in the last 90 days: 0 (increasing churn risk) | 338 days since last purchase (increasing churn risk) | customer tenure: 751.00 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | total historical order count: 7 (increasing churn risk)
C101864,0.8982,High,271 days since last purchase (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | customer tenure: 833.00 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | std order value: 27995.80 (decreasing churn risk)
C101872,0.6295,High,customer tenure: 223.00 (decreasing churn risk) | avg order value: 34983.00 (increasing churn risk) | total qty: 14.00 (increasing churn risk) | product return rate: 25.0% (increasing churn risk) | total historical order count: 4 (increasing churn risk)
C101874,0.7275,High,orders in the last 90 days: 0 (increasing churn risk) | customer tenure: 251.00 (decreasing churn risk) | 219 days since last purchase (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | total historical order count: 2 (increasing churn risk)
C101884,0.984,High,823 days since last purchase (increasing churn risk) | customer tenure: 1092.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 1 (increasing churn risk) | avg order value: 2740.73 (decreasing churn risk)
C101887,0.8879,High,558 days since last purchase (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | customer tenure: 1159.00 (increasing churn risk) | total qty: 81.00 (decreasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk)
C101904,0.793,High,customer tenure: 1119.00 (increasing churn risk) | orders in the last 90 days: 1 (increasing churn risk) | 76 days since last purchase (decreasing churn risk) | overall engagement score: 42.10 (increasing churn risk) | orders in the prior 90-day period: 1 (increasing churn risk)
C101910,0.8897,High,customer tenure: 919.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | 109 days since last purchase (increasing churn risk) | average support satisfaction score: 1.00 (increasing churn risk) | std order value: 28520.06 (decreasing churn risk)
C101929,0.9728,High,746 days since last purchase (increasing churn risk) | customer tenure: 1020.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | total historical order count: 4 (increasing churn risk)
C101962,0.6036,High,customer tenure: 56.00 (decreasing churn risk) | orders in the last 90 days: 1 (increasing churn risk) | total historical order count: 1 (increasing churn risk) | 45 days since last purchase (decreasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk)
C101967,0.9382,High,499 days since last purchase (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | customer tenure: 689.00 (increasing churn risk) | total historical order count: 3 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk)
C101968,0.9301,High,692 days since last purchase (increasing churn risk) | customer tenure: 1061.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | total historical order count: 18 (decreasing churn risk)
C101980,0.9676,High,518 days since last purchase (increasing churn risk) | customer tenure: 1142.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 4 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk)
C101989,0.9906,High,986 days since last purchase (increasing churn risk) | customer tenure: 1016.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 1 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk)
C101991,0.7988,High,24 days since last purchase (decreasing churn risk) | orders in the last 90 days: 1 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | avg order value: 37174.25 (increasing churn risk) | total historical order count: 4 (increasing churn risk)
C102011,0.9879,High,806 days since last purchase (increasing churn risk) | customer tenure: 1102.00 (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | total historical order count: 1 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk)
C102018,0.9329,High,388 days since last purchase (increasing churn risk) | orders in the last 90 days: 0 (increasing churn risk) | customer tenure: 693.00 (increasing churn risk) | orders in the prior 90-day period: 0 (increasing churn risk) | product category diversity: 10 (decreasing churn risk)
C102035,0.8679,High,orders in the last 90 days: 0 (increasing churn risk) | reliance on discounts: 36.0% (increasing churn risk) | total historical order count: 6 (increasing churn risk) | customer tenure: 539.00 (increasing churn risk) | orders in the prior 90-day period: 1 (increasing churn risk)
